[n: 14, f: 9, c: 12] p 608 | f 9
[n: 17, f: 5, c: 10] p 790 | f 14
[n: 11, f: 6, c: 8] p 124 | f 3
[n: 25, f: 4, c: 8] p 2406 | f 25
[n: 11, f: 7, c: 8] p 137 | f 3
[n: 28, f: 3, c: 14] p 6427 | f 61
[n: 11, f: 0, c: 8] p 16 | f 1
[n: 11, f: 1, c: 8] p 41 | f 3
[n: 11, f: 2, c: 8] p 62 | f 3
[n: 11, f: 3, c: 8] p 79 | f 3
[n: 18, f: 5, c: 7] p 551 | f 11
[n: 11, f: 4, c: 8] p 93 | f 3
[n: 14, f: 10, c: 12] p 663 | f 9
[n: 11, f: 5, c: 8] p 107 | f 3
[n: 11, f: 6, c: 8] p 119 | f 3
[n: 17, f: 6, c: 10] p 871 | f 14
[n: 11, f: 7, c: 8] p 131 | f 3
[n: 11, f: 0, c: 8] p 16 | f 2
[n: 11, f: 1, c: 8] p 41 | f 3
[n: 20, f: 8, c: 18] p 3506 | f 57
[n: 11, f: 2, c: 8] p 61 | f 3
[n: 18, f: 6, c: 7] p 584 | f 11
[n: 11, f: 3, c: 8] p 79 | f 3
[n: 11, f: 4, c: 8] p 92 | f 3
[n: 18, f: 0, c: 8] p 129 | f 5
[n: 14, f: 11, c: 12] p 714 | f 9
[n: 11, f: 5, c: 8] p 107 | f 3
[n: 22, f: 4, c: 9] p 1726 | f 25
[n: 14, f: 0, c: 12] p 38 | f 4
[n: 11, f: 6, c: 8] p 125 | f 3
[n: 18, f: 1, c: 8] p 251 | f 9
[n: 14, f: 1, c: 12] p 122 | f 8
[n: 11, f: 7, c: 8] p 138 | f 3
[n: 12, f: 0, c: 10] p 18 | f 2
[n: 12, f: 1, c: 10] p 58 | f 5
[n: 14, f: 2, c: 12] p 199 | f 12
[n: 12, f: 2, c: 10] p 95 | f 6
[n: 17, f: 7, c: 10] p 949 | f 15
[n: 18, f: 2, c: 8] p 368 | f 11
[n: 12, f: 3, c: 10] p 128 | f 6
[n: 14, f: 3, c: 12] p 268 | f 12
[n: 12, f: 4, c: 10] p 156 | f 6
[n: 12, f: 5, c: 10] p 179 | f 6
[n: 18, f: 3, c: 8] p 493 | f 11
[n: 14, f: 4, c: 12] p 328 | f 13
[n: 12, f: 6, c: 10] p 209 | f 5
[n: 25, f: 5, c: 8] p 2641 | f 25
